Date,Open,High,Low,Close,Volume,Adj Close,MA_21,MA_50,MA_150,MA_200,WMA_10,WMA_30
2004-07-23,109.62000274658203,109.70999908447266,108.69000244140625,108.95999908447266,49610500,73.90230560302734,111.91428520565941,112.14499923706055,112.78473322550455,110.98969993591308,112.28299942016602,112.8979995727539
2004-07-26,109.19000244140625,109.43000030517578,108.20999908447266,108.75,49679100,73.75984954833984,111.64571380615234,112.1109992980957,112.78639989217122,111.01214992523194,112.17499923706055,112.87333297729492
2004-07-27,109.05000305175781,110.11000061035156,108.97000122070312,109.7699966430664,51295100,74.45166778564453,111.451904296875,112.10659927368164,112.78673319498698,111.04099990844726,112.17499923706055,112.87333297729492
2004-07-28,109.55000305175781,110.37000274658203,108.58999633789062,110.0999984741211,65862300,74.67547607421875,111.29238056001209,112.10779922485352,112.79473317464193,111.07009990692139,112.17499923706055,112.87333297729492
2004-07-29,110.54000091552734,110.87000274658203,110.0,110.56999969482422,52200500,74.99427032470703,111.13285682314918,112.13719924926758,112.80079981486003,111.10009990692139,112.17499923706055,112.87333297729492
2004-07-30,110.31999969482422,110.9000015258789,110.0999984741211,110.83999633789062,41581700,75.17739868164062,110.95714242117745,112.16099914550782,112.8081997680664,111.12979988098145,112.17499923706055,112.87333297729492
2004-08-02,110.19000244140625,111.36000061035156,110.05000305175781,111.06999969482422,38263100,75.33341979980469,110.86809467134022,112.19699920654297,112.81786641438802,111.15879989624024,112.27799911499024,112.86033274332682
2004-08-03,110.93000030517578,111.05999755859375,110.16000366210938,110.20999908447266,40948800,74.75008392333984,110.74095190139045,112.20879913330079,112.82126642862956,111.18489990234374,112.27799911499024,112.86033274332682
2004-08-04,109.88999938964844,110.75,109.63999938964844,110.19999694824219,40763200,74.74332427978516,110.6604755946568,112.21659912109375,112.81486638387044,111.20884986877441,112.27799911499024,112.86033274332682
2004-08-05,110.29000091552734,110.37999725341797,108.2699966430664,108.4000015258789,50772000,73.52246856689453,110.47857084728423,112.17919921875,112.79633305867513,111.22954986572266,112.27799911499024,112.86033274332682
2004-08-06,107.62999725341797,107.95999908447266,106.62000274658203,106.8499984741211,74729000,72.4712142944336,110.25999922979446,112.07919921875,112.76679972330729,111.23859985351562,112.27799911499024,112.86033274332682
2004-08-09,107.0199966430664,107.4800033569336,106.87000274658203,107.0,37476300,72.57293701171875,110.03476097470238,111.97439926147462,112.73859970092774,111.24929985046387,111.67699890136718,112.67566604614258
2004-08-10,107.30999755859375,108.41000366210938,107.26000213623047,108.37999725341797,55870600,73.5088882446289,109.87285614013672,111.88459915161133,112.71153299967447,111.27349983215332,111.67699890136718,112.67566604614258
2004-08-11,107.68000030517578,108.33000183105469,107.0999984741211,108.16000366210938,52933200,73.35968780517578,109.69666580926804,111.79059921264648,112.68226633707683,111.29754985809326,111.67699890136718,112.67566604614258
2004-08-12,107.68000030517578,107.94999694824219,106.62999725341797,106.9800033569336,50015900,72.55937194824219,109.48047565278553,111.6759992980957,112.6425996907552,111.31454986572265,111.67699890136718,112.67566604614258
2004-08-13,107.0999984741211,107.3499984741211,106.58999633789062,107.19000244140625,41634700,72.7017593383789,109.3085708618164,111.55719940185547,112.60133305867512,111.3323498916626,111.67699890136718,112.67566604614258
2004-08-16,107.13999938964844,108.63999938964844,107.0999984741211,108.30000305175781,45731900,73.45467376708984,109.19380914597284,111.48139953613281,112.57406641642253,111.34864990234375,111.09799880981446,112.44099934895833
2004-08-17,108.75,109.27999877929688,108.52999877929688,108.91000366210938,40701600,73.8683853149414,109.13047608875092,111.39999954223633,112.54533309936524,111.36729991912841,111.09799880981446,112.44099934895833
2004-08-18,108.5199966430664,110.16999816894531,108.48999786376953,110.02999877929688,43165400,74.6280517578125,109.0538093930199,111.30659957885742,112.5284664408366,111.39044990539551,111.09799880981446,112.44099934895833
2004-08-19,109.80999755859375,110.0199966430664,109.18000030517578,109.70999908447266,39881600,74.4109878540039,109.05999973842076,111.20359954833984,112.50319976806641,111.41249988555909,111.09799880981446,112.44099934895833
2004-08-20,109.61000061035156,110.62999725341797,109.51000213623047,110.4800033569336,44870900,74.93324279785156,109.0885714576358,111.13739959716797,112.48119979858399,111.43494991302491,111.09799880981446,112.44099934895833
2004-08-23,110.55000305175781,110.7699966430664,110.05000305175781,110.19999694824219,33745100,74.74332427978516,109.14761897495815,111.05439956665039,112.4543330891927,111.45714988708497,110.7109992980957,112.30933278401693
2004-08-24,110.63999938964844,110.7300033569336,109.8499984741211,110.3499984741211,30453100,74.84507751464844,109.22380937848773,110.99699951171876,112.42866643269856,111.47969989776611,110.7109992980957,112.30933278401693
2004-08-25,110.33000183105469,111.2699966430664,109.9000015258789,111.0999984741211,38551400,75.353759765625,109.28714279901413,110.93859954833984,112.4019997660319,111.50319988250732,110.7109992980957,112.30933278401693
2004-08-26,110.95999908447266,111.30999755859375,110.8499984741211,111.0999984741211,26629500,75.353759765625,109.33476184663319,110.88059951782226,112.37733306884766,111.53064987182617,110.7109992980957,112.30933278401693
2004-08-27,111.19999694824219,111.62999725341797,111.05000305175781,111.44999694824219,24902900,75.59113311767578,109.37666647774833,110.83299942016602,112.35746637980144,111.5619998550415,110.7109992980957,112.30933278401693
2004-08-30,111.22000122070312,111.33999633789062,110.44999694824219,110.52999877929688,26726500,74.96713256835938,109.36190468924386,110.77099945068359,112.32186635335286,111.58889984130859,110.49299926757813,112.24166590372721
2004-08-31,110.66000366210938,111.16000366210938,110.0999984741211,111.11000061035156,44125300,75.36051940917969,109.36380949474517,110.72919952392579,112.29806635538738,111.61279983520508,110.49299926757813,112.24166590372721
2004-09-01,110.94999694824219,111.63999938964844,110.4800033569336,111.31999969482422,52778300,75.50298309326172,109.41666666666667,110.68019958496093,112.28439966837566,111.63759983062744,110.49299926757813,112.24166590372721
2004-09-02,111.23999786376953,112.69999694824219,111.23999786376953,112.58000183105469,42736600,76.35758972167969,109.53000023251488,110.63679962158203,112.27839965820313,111.67319984436035,110.49299926757813,112.24166590372721
2004-09-03,112.33000183105469,112.81999969482422,112.01000213623047,112.12000274658203,30480500,76.04554748535156,109.70714314778645,110.5913996887207,112.26933298746745,111.70914985656738,110.49299926757813,112.24166590372721
2004-09-07,112.54000091552734,113.12999725341797,112.31999969482422,112.86000061035156,37338800,76.54747772216797,109.9933337257022,110.57179977416992,112.26193298339844,111.75424987792968,110.32099990844726,112.16399943033854
