Date,Open,High,Low,Close,Volume,WMA_10,WMA_30
2007-06-10,153.5399932861328,154.38999938964844,149.05999755859375,151.0399932861328,777324100,149.89199981689453,144.5973332722982
2007-06-17,150.92999267578125,153.66000366210938,149.5500030517578,153.07000732421875,829549100,150.775,145.0190002441406
2007-06-24,153.3800048828125,153.5800018310547,149.85000610351562,150.5500030517578,786735600,151.2979995727539,145.35900014241537
2007-07-01,150.24000549316406,151.64999389648438,148.05999755859375,150.42999267578125,1001504900,151.47899932861327,145.69933319091797
2007-07-08,150.8699951171875,153.1699981689453,150.77000427246094,152.97999572753906,327793400,151.8239990234375,146.08466644287108
2007-07-15,153.16000366210938,155.4600067138672,150.52000427246094,154.85000610351562,673995100,152.21699981689454,146.5016667683919
2007-07-22,154.99000549316406,155.52999877929688,152.8300018310547,153.5,853182600,152.4809997558594,146.92666676839193
2007-07-29,154.17999267578125,154.72000122070312,145.0500030517578,145.11000061035156,1533710900,151.7300003051758,147.04300028483073
2007-08-05,145.92999267578125,149.4600067138672,143.1999969482422,143.8000030517578,1721820800,150.94100036621094,147.15166727701822
2007-08-12,144.2100067138672,150.58999633789062,142.52999877929688,144.7100067138672,1601119800,150.00400085449218,147.20066731770834
2007-08-19,146.5,146.88999938964844,137.0,144.7100067138672,1704847500,149.37100219726562,147.26366729736327
2007-08-26,145.1699981689453,148.3300018310547,143.2899932861328,148.3300018310547,850360700,148.89700164794922,147.4703338623047
2007-09-02,147.85000610351562,148.5,143.4600067138672,147.58999633789062,917764000,148.6010009765625,147.56300048828126
2007-09-09,147.4499969482422,149.97999572753906,145.25999450683594,146.07000732421875,649649800,148.16500244140624,147.63400065104167
2007-09-16,146.52000427246094,149.4499969482422,144.3300018310547,148.89999389648438,779932400,147.7570022583008,147.7396672566732
2007-09-23,148.30999755859375,154.38999938964844,147.6300048828125,151.97000122070312,884054500,147.46900177001953,147.96200052897134
2007-09-30,152.4199981689453,153.19000244140625,150.47000122070312,152.5800018310547,653372500,147.377001953125,148.42566731770833
2007-10-07,152.60000610351562,156.10000610351562,152.5,155.85000610351562,591641100,148.4510025024414,148.9280008951823
2007-10-14,155.38999938964844,157.52000427246094,154.5399932861328,156.3300018310547,625121600,149.7040023803711,149.52133433024088
2007-10-21,156.27000427246094,156.47999572753906,149.66000366210938,149.6699981689453,989902300,150.20000152587892,149.7306676228841
2007-10-28,148.86000061035156,153.6199951171875,148.66000366210938,153.6199951171875,1182627600,151.09100036621095,150.11800079345704
2007-11-04,153.92999267578125,155.27000427246094,149.2100067138672,151.1999969482422,1125046000,151.37799987792968,150.3500005086263
2007-11-11,149.63999938964844,152.11000061035156,144.88999938964844,145.13999938964844,1363536200,151.13300018310548,150.34400024414063
2007-11-18,145.2100067138672,149.39999389648438,143.6999969482422,145.7899932861328,1236645700,151.10499877929686,150.24966684977213
2007-11-25,145.27999877929688,145.52999877929688,141.6699981689453,144.1300048828125,1019214300,150.62799987792968,150.06966705322264
2007-12-02,144.42999267578125,149.8699951171875,140.66000366210938,148.66000366210938,1189044700,150.2970001220703,149.99433390299478
2007-12-09,148.19000244140625,151.5,146.30999755859375,150.91000366210938,757531800,150.13000030517577,149.99600067138672
2007-12-16,151.27999877929688,152.88999938964844,147.10000610351562,147.1699981689453,1093400500,149.26199951171876,149.8143341064453
2007-12-23,146.61000061035156,148.4199981689453,143.9600067138672,148.1300048828125,982654100,148.44199981689454,149.69566752115887
2007-12-30,148.82000732421875,149.67999267578125,146.89999389648438,147.3000030517578,352074300,148.2050003051758,149.46966756184895
2008-01-06,147.10000610351562,147.61000061035156,140.91000366210938,141.30999755859375,670526600,146.9740005493164,149.14533437093098
2008-01-13,141.80999755859375,142.89999389648438,137.6999969482422,140.14999389648438,1465959400,145.86900024414064,148.71466725667318
2008-01-20,141.16000366210938,141.86000061035156,131.10000610351562,132.05999755859375,1535562300,144.56100006103514,148.09833374023438
2008-01-27,127.20999908447266,136.75999450683594,126.0,133.0399932861328,1477389900,143.28600006103517,147.51866709391277
2008-02-03,133.25999450683594,139.61000061035156,132.05999755859375,139.5800018310547,1272366500,142.83099975585938,147.0720006306966
2008-02-10,139.2100067138672,139.3000030517578,131.72999572753906,133.07000732421875,1181381300,141.27200012207032,146.34600067138672
2008-02-17,133.10000610351562,137.05999755859375,132.0399932861328,135.13999938964844,996516000,139.69499969482422,145.73400065104167
2008-02-24,136.72000122070312,137.00999450683594,132.86000061035156,135.6199951171875,771817900,138.53999938964844,145.41766713460285
2008-03-02,135.5399932861328,139.13999938964844,132.77999877929688,133.82000732421875,994469800,137.10899963378907,145.08500061035156
2008-03-09,133.13999938964844,134.77000427246094,128.5800018310547,129.7100067138672,1317024300,135.35,144.58500061035156
2008-03-16,129.83999633789062,133.77000427246094,127.58999633789062,129.61000061035156,1642477300,134.18000030517578,144.0816670735677
2008-03-23,126.56999969482422,134.64999389648438,126.06999969482422,132.0800018310547,1331020000,133.3730010986328,143.54000040690104
2008-03-30,133.30999755859375,135.80999755859375,131.05999755859375,131.50999450683594,1004908100,133.31800079345703,143.00400034586588
2008-04-06,131.2899932861328,137.9600067138672,131.08999633789062,136.88999938964844,1012481800,133.7030014038086,142.6980000813802
2008-04-13,137.8699951171875,138.57000732421875,133.00999450683594,133.3800048828125,914734500,133.08300170898437,142.1806671142578
2008-04-20,133.19000244140625,139.55999755859375,132.3300018310547,138.47999572753906,920376400,133.6240005493164,141.7310002644857
2008-04-27,138.22999572753906,139.88999938964844,136.89999389648438,139.60000610351562,894231800,134.07000122070312,141.29833374023437
2008-05-04,139.8800048828125,142.3699951171875,138.25999450683594,141.50999450683594,808385200,134.65900115966798,140.8203333536784
2008-05-11,141.0500030517578,142.1999969482422,138.4499969482422,138.89999389648438,828021000,135.16699981689453,140.2393330891927
2008-05-18,139.25,142.8699951171875,138.72999572753906,142.66000366210938,860072700,136.46199951171874,140.00566660563152
2008-05-25,142.80999755859375,144.3000030517578,137.52000427246094,137.63999938964844,949138100,137.26499938964844,139.4730000813802
2008-06-01,137.8000030517578,140.92999267578125,137.52999877929688,140.35000610351562,640900200,138.09199981689454,139.11133371988933
2008-06-08,139.8300018310547,140.88999938964844,136.22000122070312,136.2899932861328,1321816700,138.56999969482422,138.8163335164388
2008-06-15,136.86000061035156,137.5,133.52000427246094,136.14999389648438,1269907600,138.49599914550782,138.49500020345053
2008-06-22,135.5500030517578,137.1199951171875,131.22000122070312,131.5800018310547,1236913800,138.31599884033204,138.07666676839193
2008-06-29,132.08999633789062,133.39999389648438,127.04000091552734,127.52999877929688,1321449300,137.22099914550782,137.37233327229816
2008-07-06,127.88999938964844,129.16000366210938,124.98999786376953,126.30999755859375,1174881700,135.89199829101562,136.55233306884764
2008-07-13,126.79000091552734,127.73999786376953,122.48999786376953,123.83999633789062,2002730700,134.1249984741211,135.77466634114583
2008-07-20,125.26000213623047,126.41999816894531,120.0199966430664,125.9800033569336,1839386900,132.832999420166,135.03633295694988
2008-07-27,126.51000213623047,129.14999389648438,124.8499984741211,125.4800033569336,1299231100,131.11499938964843,134.30899963378906
2008-08-03,125.51000213623047,128.60000610351562,123.41999816894531,126.16000366210938,1347509900,129.96699981689454,133.8039998372396
2008-08-10,126.04000091552734,129.92999267578125,124.76000213623047,129.3699951171875,1156496800,128.8689987182617,133.44466654459634
2008-08-17,129.47000122070312,131.50999450683594,127.66999816894531,130.1699981689453,1139575900,128.25699920654296,133.3816665649414
2008-08-24,130.42999267578125,130.47999572753906,126.33999633789062,129.64999389648438,940772100,127.60699920654297,133.26866658528647
2008-08-31,128.8000030517578,130.33999633789062,126.58000183105469,128.7899932861328,858819800,127.32799835205078,132.90899963378905
2008-09-07,130.02999877929688,130.7100067138672,122.0,124.41999816894531,1133857800,127.01699829101562,132.62066599527995
2008-09-14,128.0399932861328,128.24000549316406,121.5999984741211,126.08999633789062,1713539300,126.99499816894532,132.31899922688802
2008-09-21,121.62999725341797,128.0,113.80000305175781,124.12000274658203,2966649400,127.02299880981445,131.93566614786783
2008-09-28,124.44999694824219,124.75,117.79000091552734,120.8499984741211,1503425700,126.5099983215332,131.50333251953126
2008-10-05,119.13999938964844,119.33999633789062,109.68000030517578,110.33999633789062,1947635500,124.99599761962891,130.8576655069987
2008-10-12,107.1500015258789,107.62000274658203,83.58000183105469,88.5,3281575900,121.22999725341796,129.48733215332032
2008-10-19,93.87000274658203,105.52999877929688,86.54000091552734,93.20999908447266,2671940000,117.61399765014649,128.1916653951009
2008-10-26,95.3499984741211,99.0999984741211,84.0,87.04000091552734,2374443200,113.30099792480469,126.70933227539062
2008-11-02,85.97000122070312,98.56999969482422,83.69999694824219,96.83000183105469,2394474300,110.01899871826171,125.3739990234375
2008-11-09,96.77999877929688,100.86000061035156,90.05999755859375,93.86000061035156,1798169800,106.5259994506836,124.05666554768881
2008-11-16,95.20999908447266,95.52999877929688,82.08999633789062,86.62000274658203,2468096000,102.74599990844726,122.32799911499023
2008-11-23,86.37999725341797,88.55999755859375,74.33999633789062,79.5199966430664,3030111200,98.08899993896485,120.32533213297526
2008-11-30,81.91999816894531,90.12999725341797,80.36000061035156,90.08999633789062,1465860000,94.68599929809571,118.61133219401042
2008-12-07,87.51000213623047,88.41999816894531,81.86000061035156,87.93000030517578,2275378100,91.39399948120118,116.91233240763346
2008-12-14,90.33999633789062,92.37999725341797,85.19999694824219,88.98999786376953,1959958100,89.25899963378906,115.12333221435547
2008-12-21,89.0199966430664,92.43000030517578,86.29000091552734,88.19000244140625,1592338100,89.22799987792969,113.4749989827474
2008-12-28,88.58000183105469,88.66999816894531,85.48999786376953,87.16000366210938,602214000,88.62300033569336,111.70199890136719
2009-01-04,87.23999786376953,93.44000244140625,85.5999984741211,92.95999908447266,717605700,89.21500015258789,110.25766576131186
2009-01-11,92.62999725341797,94.44999694824219,85.36000061035156,89.08999633789062,1444297800,88.44099960327148,108.68899917602539
2009-01-18,88.83999633789062,88.91000366210938,81.72000122070312,85.05999755859375,2001666900,87.56099929809571,107.13833236694336
2009-01-25,84.2300033569336,85.05999755859375,80.05000305175781,83.11000061035156,1598956800,87.20999908447266,105.65766576131185
2009-02-01,83.58999633789062,87.94999694824219,82.20999908447266,82.83000183105469,1599551600,87.54099960327149,104.20833257039388
2009-02-08,81.56999969482422,87.33999633789062,77.7300033569336,86.9800033569336,1673389500,87.23000030517578,102.97966613769532
2009-02-15,86.95999908447266,87.73999786376953,81.05000305175781,82.76000213623047,1864031100,86.71300048828125,101.53899943033854
2009-02-22,80.16000366210938,82.95999908447266,75.7699966430664,77.41999816894531,1635919000,85.55600051879883,99.9369992574056
2009-03-01,78.2699966430664,79.66999816894531,73.80999755859375,73.93000030517578,2101752900,84.13000030517578,98.19599914550781
2009-03-08,72.5199966430664,73.91999816894531,67.0999984741211,68.91999816894531,2308986100,82.30599975585938,96.18099924723307
2009-03-15,67.94999694824219,76.9800033569336,67.7300033569336,76.08999633789062,1889958900,80.61899948120117,94.37833251953126
2009-03-22,76.95999908447266,81.0,75.44999694824219,76.70999908447266,1990331000,79.38099975585938,92.61366602579753
2009-03-29,78.73999786376953,83.30000305175781,78.30999755859375,81.61000061035156,1936336900,79.03600006103515,91.04099960327149
2009-04-05,79.80000305175781,84.61000061035156,77.95999908447266,84.26000213623047,1826242100,79.15100021362305,89.70233306884765
2009-04-12,83.33999633789062,85.81999969482422,81.51000213623047,85.80999755859375,1023870700,79.44899978637696,88.35966644287109
2009-04-19,84.91999816894531,87.6500015258789,83.61000061035156,87.08000183105469,1350024300,79.45899963378906,87.12499974568685
2009-04-26,85.54000091552734,87.30999755859375,82.75,86.66000366210938,1360782900,79.84899978637695,85.98533325195312
2009-05-03,85.68000030517578,89.0199966430664,84.76000213623047,87.88999938964844,1386543700,80.89599990844727,85.23700002034505
2009-05-10,88.55000305175781,93.22000122070312,88.37999725341797,92.9800033569336,1438907000,82.80100021362304,85.38633346557617
2009-05-17,91.69999694824219,92.11000061035156,88.1500015258789,88.70999908447266,1331575400,84.78000030517578,85.23633346557617
2009-05-24,89.55000305175781,92.80000305175781,88.26000213623047,89.0199966430664,1159072100,86.07300033569337,85.30233332316081
2009-05-31,88.36000061035156,93.69999694824219,88.31999969482422,92.52999877929688,1030070800,87.65500030517578,85.15899988810222
2009-06-07,93.66999816894531,95.66999816894531,92.76000213623047,94.55000305175781,1236792000,88.94900054931641,85.18199996948242
